State,Longitude,Latitude
Andaman and Nicobar,92.90425736,11.84545493
Andhra Pradesh,79.97385121,16.55779593
Arunachal Pradesh,94.66231412,27.72904985
Assam,92.68568626,26.33608583
Bihar,85.62534127,25.76630327
Chandigarh,76.75872466,30.7426
Chhattisgarh,82.12782675,21.55195971
Dadra and Nagar Haveli,73.09454961,20.21513217
Daman and Diu,72.28044798,20.51380232
Delhi,77.12804518,28.6459443
Goa,73.86574065,15.39422503
Gujarat,72.18750518,22.37819881
Haryana,76.49894522,29.22950775
Himachal Pradesh,76.85663275,31.65320769
Jammu and Kashmir,75.00794343,33.63368522
Jharkhand,85.87307896,23.75447658
Karnataka,76.24192278,14.38764631
Kerala,76.22961611,10.29973454
Lakshadweep,72.82992744,10.43639053
Madhya Pradesh,78.11342801,23.63102694
Maharashtra,75.32262084,19.37025339
Manipur,93.85297165,24.71839551
Meghalaya,91.23060136,25.4787615
Mizoram,92.82329685,23.46017562
Nagaland,94.3705422,26.10100802
Orissa,85.00227945,20.53480935
Puducherry,79.71055403,11.87026029
Punjab,75.4575137,30.9230441
Rajasthan,74.83894799,26.47392242
Sikkim,88.50779712,27.34002317
Tamil Nadu,78.74296176,11.12851211
Tripura,91.65250205,23.7075333
Uttar Pradesh,80.67263981,27.05221059
Uttaranchal,78.88461124,29.93055466
West Bengal,88.15177428,23.40189534
